component,cp_property,value,unit,bsdd_property_uri,dictionary_uri,evidence_file,standard,note
insulation,lambdaDeclared_EN12664,0.047,W/mK,https://identifier.buildingsmart.org/uri/demo2025/thermal-insulation-products/1.0.0/prop/thermalConductivityDeclared_EN12664,https://identifier.buildingsmart.org/uri/demo2025/thermal-insulation-products/1.0.0,KNAUF-ACOUSTIC-BATT-2025,EN 13162,from EPD thermal conductivity range 0.047-0.050 W/mK
insulation,fireReactionEuroclass_EN13501,A1,-,https://identifier.buildingsmart.org/uri/demo2025/thermal-insulation-products/1.0.0/prop/fireReactionEuroclass_EN13501,https://identifier.buildingsmart.org/uri/demo2025/thermal-insulation-products/1.0.0,KNAUF-ACOUSTIC-BATT-2025,EN 13501-1,from product datasheet
pipe,nominalDiameter,DN110,-,https://identifier.buildingsmart.org/uri/demo2025/ppipes/1.0/prop/nominalDiameter,https://identifier.buildingsmart.org/uri/demo2025/ppipes/1.0,NEPD-3589-2252-EN,,nominal diameter from PVC sewage pipe EPD
pipe,materialType,uPVC,-,https://identifier.buildingsmart.org/uri/demo2025/ppipes/1.0/prop/material,https://identifier.buildingsmart.org/uri/demo2025/ppipes/1.0,NEPD-3589-2252-EN,,material type from PVC sewage pipe EPD
pipe,density,1410,kg/m³,https://identifier.buildingsmart.org/uri/demo2025/ppipes/1.0/prop/density,https://identifier.buildingsmart.org/uri/demo2025/ppipes/1.0,NEPD-3589-2252-EN,,density from PVC sewage pipe EPD
pipe,thermalConductivity,0.15,W/mK,https://identifier.buildingsmart.org/uri/demo2025/ppipes/1.0/prop/thermalConductivity,https://identifier.buildingsmart.org/uri/demo2025/ppipes/1.0,NEPD-3589-2252-EN,,thermal conductivity at 23°C from EPD
timber,strengthClass_EN14080,GL24h,-,https://identifier.buildingsmart.org/uri/demo2025/timber/1.0.0/prop/strengthClass_EN14080,https://identifier.buildingsmart.org/uri/cei-bois.org/wood/1.0.0,SCHILLIGER-BSH-GL24h-2022,EN 14080,from Schilliger Declaration of Performance
timber,density,410,kg/m³,https://identifier.buildingsmart.org/uri/demo2025/timber/1.0.0/prop/density_EN14080,https://identifier.buildingsmart.org/uri/cei-bois.org/wood/1.0.0,SCHILLIGER-BSH-GL24h-2022,EN 14080,typical glulam density from EPD
